domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
beta.trumpcard.gov,No,Yes,6,2,2025-07-05T17:49:45,2025-12-01T19:16:35,20750269055;19473109973;20750921663;19501284614;20750277869;19473112565,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
cbp.int.trumpcard.gov,Yes,Yes,5,2,2025-06-26T13:13:40,2025-11-22T14:33:16,19268451103;20544334068;20544332123;19268471214;19268465077,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
dos.int.trumpcard.gov,Yes,Yes,6,2,2025-06-26T13:13:46,2025-11-22T14:33:37,20544308334;20544296743;19269479198;19268451554;20544335911;19268465156,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
elis.int.trumpcard.gov,Yes,Yes,4,2,2025-06-26T13:00:06,2025-11-22T14:17:55,19268292344;19268276040;20544003889;20561639327,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
elis.stg.int.trumpcard.gov,No,Yes,4,2,2025-06-26T13:00:06,2025-11-22T14:17:55,19268292344;19268276040;20544003889;20561639327,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
int.trumpcard.gov,Yes,Yes,2,2,2025-08-13T21:42:13,2025-11-11T22:42:19,20316556852;20316569655,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
pc-cl-api.trumpcard.gov,No,Yes,6,2,2025-07-02T03:08:57,2025-11-28T01:28:51,20668096074;20667033817;19387862090;20667030987;19387862991;19388074989,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
stg.cbp.int.trumpcard.gov,No,Yes,5,2,2025-06-26T13:13:40,2025-11-22T14:33:16,19268451103;20544334068;20544332123;19268471214;19268465077,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
stg.dos.int.trumpcard.gov,No,Yes,6,2,2025-06-26T13:13:46,2025-11-22T14:33:37,20544308334;20544296743;19269479198;19268451554;20544335911;19268465156,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
stg.elis.int.trumpcard.gov,Yes,Yes,4,2,2025-06-26T13:13:40,2025-11-22T14:33:29,20544331978;19268478176;20544292706;19268464972,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
trumpcard.gov,Yes,Yes,24,5,2025-07-02T03:08:57,2025-12-01T19:16:35,20667033817;20750277869;19388074989;20800822409;19800995129;20668096074;20498155501;20229846861;20667030987;19387862991;19473112565;19862104532;20750269055;20229848268;19473109973;19854191086;19387862090;20750921663;20229859069;19862105067;20194794509;19501284614;19800991637;19854185511,"C=US, O=Google Trust Services, CN=WR1;C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=E6;C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=AE1"
