domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
DC4PROAD21.sba.gov,Yes,Yes,2,1,2025-10-09T00:00:00,2026-11-28T23:59:59,22066859990;21599507255,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
SBICWEB.SBA.GOV,Yes,Yes,1,1,2026-04-14T00:00:00,2026-10-29T23:59:59,25520356593,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
WOSB.Certify.sba.gov,Yes,Yes,2,1,2025-09-23T00:00:00,2026-10-24T23:59:59,21228724656;21227576721,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
advocacy.sba.gov,Yes,Yes,2,1,2026-04-07T00:00:00,2026-10-21T23:59:59,25425485635;25427727149,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
alpha.cafs.sba.gov,Yes,Yes,3,1,2026-03-16T00:00:00,2026-09-29T23:59:59,25015821909;25016705658;25011746248,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
alpha.cls.sba.gov,Yes,Yes,3,1,2025-09-17T00:00:00,2026-10-16T23:59:59,21073375518;21069849020;21075041202,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
alpha.investor.sba.gov,Yes,Yes,3,1,2026-05-12T00:00:00,2026-11-25T23:59:59,26290641550;26290446600;26290446642,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
alpha.lender.sba.gov,Yes,Yes,11,2,2026-03-09T00:00:00,2026-10-16T23:59:59,25313255668;25311444185;25308607394;24881497546;25346582622;24882644628;25353561994;25369204217;24881497633;25353561569;25348675303,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
alpha.lending.sba.gov,Yes,Yes,2,2,2025-11-14T00:00:00,2026-12-13T23:59:59,22449543153;22453829131,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
alpha.mailer.lender.sba.gov,No,Yes,3,2,2026-03-09T00:00:00,2026-09-22T23:59:59,24881497633;24882644628;24881497546,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
alpha.mailer.lending.sba.gov,No,Yes,2,2,2025-11-14T00:00:00,2026-12-13T23:59:59,22449543153;22453829131,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
alpha.oauth.cls.sba.gov,No,Yes,3,1,2025-09-17T00:00:00,2026-10-16T23:59:59,21073375518;21069849020;21075041202,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
alpha.rulesengine.lender.sba.gov,No,Yes,3,2,2026-03-09T00:00:00,2026-09-22T23:59:59,24881497633;24882644628;24881497546,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
alpha.rulesengine.lending.sba.gov,No,Yes,2,2,2025-11-14T00:00:00,2026-12-13T23:59:59,22449543153;22453829131,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
alpha1.lending.sba.gov,Yes,Yes,4,2,2026-02-04T00:00:00,2027-03-05T23:59:59,24185706687;24185646191;24185601805;24185695879,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
alpha1.mailer.lending.sba.gov,No,Yes,2,2,2026-02-04T00:00:00,2027-03-05T23:59:59,24185706687;24185695879,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
alpha1.rulesengine.lending.sba.gov,No,Yes,2,2,2026-02-04T00:00:00,2027-03-05T23:59:59,24185706687;24185695879,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
analytics.sba.gov,Yes,Yes,2,1,2026-05-28T18:22:25,2026-08-26T18:22:24,26714131453;26714128879,"C=US, O=Let's Encrypt, CN=YR1"
api.sba.gov,Yes,Yes,4,2,2025-09-30T00:00:00,2026-11-04T23:59:59,21365101286;21363688999;25612197185;25634152494,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
apis-mysba-nonprod.sba.gov,Yes,Yes,2,1,2026-06-01T15:04:04,2026-08-30T15:04:03,26804510428;26804508599,"C=US, O=Let's Encrypt, CN=YR2"
apis-mysba.sba.gov,Yes,Yes,2,1,2026-06-01T15:06:35,2026-08-30T15:06:34,26804557944;26804552638,"C=US, O=Let's Encrypt, CN=YR1"
apis-oed.sba.gov,Yes,Yes,3,2,2025-12-09T00:00:00,2027-01-06T23:59:59,26860030408;23007484815;26860027935,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=Let's Encrypt, CN=YR1"
appeals.sba.gov,Yes,Yes,7,2,2025-06-29T00:00:00,2026-12-17T23:59:59,26767719912;19322389128;19321986738;21096563014;26722987634;19431788332;26841397965,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M03"
appointment.sba.gov,Yes,Yes,2,1,2026-06-03T15:04:26,2026-09-01T15:04:25,26860050487;26860059270,"C=US, O=Let's Encrypt, CN=YR1"
appointments.sba.gov,Yes,Yes,2,1,2026-05-28T19:04:11,2026-08-26T19:04:10,26714797322;26714796633,"C=US, O=Let's Encrypt, CN=YR1"
ascent.sba.gov,No,Yes,2,1,2025-09-24T00:00:00,2026-10-23T23:59:59,21237892830;21236533930,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
ashplx8ftmgr01.sba.gov,No,Yes,2,1,2026-06-21T16:35:43,2026-09-19T16:35:42,27374273524;27374275831,"C=US, O=Let's Encrypt, CN=YR1"
autodiscover.sba.gov,No,Yes,3,2,2025-09-17T00:00:00,2026-09-25T23:59:59,26805109212;21083990853;26805113157,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=Let's Encrypt, CN=YR2"
beta-search.certifications.sba.gov,No,Yes,4,2,2025-06-26T00:00:00,2026-12-10T23:59:59,19272427091;26704985688;26669511162;19272037497,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M03"
beta-search.certify.sba.gov,No,Yes,4,2,2025-06-26T00:00:00,2026-12-10T23:59:59,19272427091;26704985688;26669511162;19272037497,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M03"
beta.cafs.sba.gov,Yes,Yes,3,1,2026-03-16T00:00:00,2026-09-29T23:59:59,25011765070;25015698199;25016595698,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
beta.cls.sba.gov,Yes,Yes,3,1,2025-09-19T00:00:00,2026-10-18T23:59:59,21121323810;21119389648;21124947771,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
beta.investor.sba.gov,Yes,Yes,3,1,2026-05-07T00:00:00,2026-11-20T23:59:59,26151329267;26149761636;26149761598,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
beta.lender.sba.gov,Yes,Yes,10,2,2026-03-09T00:00:00,2026-10-14T23:59:59,24879783795;25301609230;24878496440;24878496639;24880126136;25301621354;24879787470;24880112361;24881039399;25301608656,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
beta.lending.sba.gov,Yes,Yes,3,1,2025-11-14T00:00:00,2026-12-14T23:59:59,22475201971;22475219102;22452141084,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
