domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
EOIREfile.ice.gov,Yes,Yes,1,1,2025-03-04T00:00:00,2026-03-03T23:59:59,16942994805,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
HSITOCSupport.ice.gov,Yes,Yes,2,1,2025-05-27T00:00:00,2026-07-06T23:59:59,18832884795;18658532769,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
INA287G.ice.gov,No,Yes,1,1,2025-08-11T00:00:00,2026-08-17T23:59:59,20267498480,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
alpha.sevis.ice.gov,Yes,Yes,2,1,2024-08-23T00:00:00,2025-09-23T23:59:59,20324281624;14259939769,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
author-brandcentral.ice.gov,Yes,Yes,1,1,2025-03-13T00:00:00,2026-04-13T23:59:59,17092146116,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
beta.sevis.ice.gov,Yes,Yes,2,1,2024-08-23T00:00:00,2025-09-23T23:59:59,20325446218;14259940075,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
brandcentral.ice.gov,Yes,Yes,1,1,2025-03-13T00:00:00,2026-04-13T23:59:59,17092016705,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
brs-external.ice.gov,No,Yes,1,1,2025-08-11T00:00:00,2026-08-17T23:59:59,20267498480,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
careers.secretservice.gov,No,Yes,8,2,2025-02-25T00:00:00,2026-02-25T23:59:59,21114084736;19885134674;21110511870;17561274672;16856912457;16977756642;18984432390;19996163038,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
ccrp.ice.gov,Yes,Yes,2,1,2024-09-05T00:00:00,2025-10-06T23:59:59,14442869779;20382908258,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
cebonds.ice.gov,Yes,Yes,1,1,2025-03-26T00:00:00,2026-01-30T23:59:59,17418942720,"C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1"
checkin.ice.gov,Yes,Yes,1,1,2025-08-11T00:00:00,2026-08-17T23:59:59,20267498480,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
chis.ice.gov,Yes,Yes,1,1,2025-05-05T00:00:00,2026-06-05T23:59:59,18235472756,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
dev-assetshare.ice.gov,Yes,Yes,1,1,2025-03-13T00:00:00,2026-04-13T23:59:59,17092240052,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
devauthor-assetshare.ice.gov,Yes,Yes,1,1,2025-03-13T00:00:00,2026-04-13T23:59:59,17092120677,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
dfas.ice.gov,No,Yes,1,1,2025-08-11T00:00:00,2026-08-17T23:59:59,20267498480,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
e2c2ads.ice.gov,No,Yes,1,1,2025-08-11T00:00:00,2026-08-17T23:59:59,20267498480,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
ebonds.ice.gov,Yes,Yes,2,1,2024-08-29T00:00:00,2025-09-29T23:59:59,14348744436;20350298458,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
edit-preview.ice.gov,No,Yes,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18581707897;18580896916;16621718437;18580894723,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
edit-staging.secretservice.gov,No,Yes,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18581707897;18580896916;16621718437;18580894723,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
edit-testint.secretservice.gov,No,Yes,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18581707897;18580896916;16621718437;18580894723,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
edit.ice.gov,No,Yes,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18581707897;18580896916;16621718437;18580894723,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
edit.secretservice.gov,No,Yes,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18581707897;18580896916;16621718437;18580894723,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
edit.staging.ice.gov,No,Yes,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18581707897;18580896916;16621718437;18580894723,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
edit.staging1.dhs.gov,Yes,No,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18581707897;18580896916;16621718437;18580894723,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
edit.testint.ice.gov,No,Yes,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18581707897;18580896916;16621718437;18580894723,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
egov.ice.gov,No,Yes,2,1,2024-11-14T00:00:00,2025-12-15T23:59:59,20853106927;15354946847,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
eroefile.ice.gov,No,Yes,1,1,2025-08-11T00:00:00,2026-08-17T23:59:59,20267498480,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
eservice.ice.gov,Yes,Yes,1,1,2025-09-02T00:00:00,2026-10-03T23:59:59,20746831672,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
eserviceportal.ice.gov,No,Yes,1,1,2025-09-02T00:00:00,2026-10-03T23:59:59,20746831672,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
eserviceregistration.ice.gov,No,Yes,1,1,2025-09-02T00:00:00,2026-10-03T23:59:59,20746831672,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
esp-rpi.ice.gov,Yes,Yes,1,1,2024-11-01T00:00:00,2025-12-02T23:59:59,15173836879,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
etd-pp.ice.gov,Yes,Yes,1,1,2025-07-01T00:00:00,2026-08-01T23:59:59,19374954848,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
etd.ice.gov,Yes,Yes,1,1,2025-08-25T00:00:00,2026-09-25T23:59:59,20565687486,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
expedge.ice.gov,No,Yes,3,1,2024-11-18T00:00:00,2025-10-11T23:59:59,15410617729;15410643889;15425794436,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
expedge01.ice.dhs.gov,Yes,No,1,1,2024-11-18T00:00:00,2025-10-11T23:59:59,15410617729,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
expedge01.ice.gov,No,Yes,3,1,2024-11-18T00:00:00,2025-10-11T23:59:59,15410617729;15410643889;15425794436,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
expedge02.ice.dhs.gov,Yes,No,2,1,2024-11-18T00:00:00,2025-10-11T23:59:59,15410643889;15425794436,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
expedge02.ice.gov,No,Yes,3,1,2024-11-18T00:00:00,2025-10-11T23:59:59,15410617729;15410643889;15425794436,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
ffmstest.ice.gov,Yes,Yes,2,1,2024-09-30T00:00:00,2025-09-29T23:59:59,20475744557;14748106424,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
ffmstrans.ice.gov,Yes,Yes,2,1,2024-09-30T00:00:00,2025-10-31T23:59:59,16523250012;14748071188,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
hsiportal.ice.gov,No,Yes,37,2,2025-03-26T00:00:00,2026-04-26T23:59:59,20080458571;18943019227;20271436890;19396167678;20926983463;18523749370;18943027988;20029009982;20591002800;19074943444;20905691747;20029025520;19103669163;19267911919;18772425302;19396152796;21112791693;19205009027;17905656913;20930499224;18678644473;18523738272;17741840613;20271421518;17741834613;20591020552;20315294136;20905674780;17423975125;20926966779;19103654629;20659299823;18537588821;19517907329;18678674388;20930493299;19205045933,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1"
