domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
2017dodtransition.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
2025dodtransition.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
actuary.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
armedforcessports.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
atsdio.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
basicresearch.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
business.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
cmsmedia-dev.defense.gov,No,Yes,2,1,2025-07-31T14:53:36,2025-10-29T14:53:35,20033103806;20033117445,"C=US, O=Let's Encrypt, CN=R10"
cmsmedia-scratch.defense.gov,No,Yes,2,1,2025-07-31T14:53:36,2025-10-29T14:53:35,20033103806;20033117445,"C=US, O=Let's Encrypt, CN=R10"
cmsmedia-staging.defense.gov,No,Yes,2,1,2025-07-31T14:53:36,2025-10-29T14:53:35,20033103806;20033117445,"C=US, O=Let's Encrypt, CN=R10"
cmsmedia.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
comptroller.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
ctip.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
cyberwork.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
dacowits.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
dam.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
data.defense.gov,No,Yes,6,2,2025-07-14T14:38:04,2025-11-02T19:48:39,19660040609;19660040521;19661912895;20118967490;20118970748;19661911870,"C=US, O=Let's Encrypt, CN=R10;C=US, O=Let's Encrypt, CN=R11"
