domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
FSBCGCW-FM03P.cancer.gov,No,Yes,1,1,2025-04-08T00:00:00,2026-04-11T23:59:59,17725778886,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
FSCRTP-FM01P.cancer.gov,No,Yes,1,1,2025-04-08T00:00:00,2026-04-11T23:59:59,17725235848,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
FSCRTP-FM02P.cancer.gov,No,Yes,1,1,2025-04-08T00:00:00,2026-04-11T23:59:59,17725720485,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
LBL-P019-V.datacommons.cancer.gov,No,Yes,1,1,2026-01-06T00:00:00,2027-01-06T23:59:59,23593665681,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
abcs-amp-dev.cancer.gov,No,Yes,1,1,2025-04-03T00:00:00,2026-04-11T23:59:59,17606448791,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
abcs-amp-test.cancer.gov,No,Yes,1,1,2025-04-03T00:00:00,2026-04-11T23:59:59,17606455582,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
abcs-amp.cancer.gov,No,Yes,1,1,2025-04-03T00:00:00,2026-04-11T23:59:59,17606455461,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
abcs-cds.cancer.gov,No,Yes,1,1,2025-04-03T00:00:00,2026-04-11T23:59:59,17606439835,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
abcs-devops.cancer.gov,No,Yes,1,1,2025-04-03T00:00:00,2026-04-11T23:59:59,17606440496,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
abcs-jenkins.cancer.gov,No,Yes,1,1,2025-04-03T00:00:00,2026-04-11T23:59:59,17606440489,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
abcs-kibana.cancer.gov,No,Yes,1,1,2025-04-03T00:00:00,2026-04-11T23:59:59,17606445989,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
abcsivglrms.cancer.gov,No,Yes,1,1,2025-04-03T00:00:00,2026-04-11T23:59:59,17606476253,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
abcsr-cds.cancer.gov,No,Yes,1,1,2025-04-03T00:00:00,2026-04-11T23:59:59,17606439873,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
antibodies.cancer.gov,No,Yes,1,1,2025-04-03T00:00:00,2026-04-11T23:59:59,17606491040,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
api.gdc.cancer.gov,Yes,Yes,2,1,2025-11-21T00:00:00,2026-11-21T23:59:59,22643360881;22643346338,"C=FR, O=Gandi, CN=Gandi RSA Domain Validation Secure Server CA 3"
api.seer.cancer.gov,Yes,Yes,4,2,2025-11-26T16:02:27,2026-04-25T04:02:32,22747842282;22747852021;23965442296;23965415937,"C=US, O=Let's Encrypt, CN=E8;C=US, O=Let's Encrypt, CN=E7"
applications.cpfp.cancer.gov,Yes,Yes,4,2,2025-11-27T04:02:21,2026-04-25T16:02:18,23974081381;22760692964;23974081730;22757656686,"C=US, O=Let's Encrypt, CN=E8;C=US, O=Let's Encrypt, CN=E7"
applications.prevention.cancer.gov,Yes,Yes,4,2,2025-11-26T16:02:57,2026-04-25T04:03:08,22747851399;23965433470;23965432514;22747860467,"C=US, O=Let's Encrypt, CN=E8;C=US, O=Let's Encrypt, CN=E7"
appliedresearch.cancer.gov,Yes,Yes,4,1,2025-11-26T16:03:21,2026-04-25T04:03:44,23965437196;23965422960;22747854607;22747862645,"C=US, O=Let's Encrypt, CN=E7"
atbcstudy.cancer.gov,Yes,Yes,4,1,2025-11-26T16:04:06,2026-04-25T04:04:28,22747873261;23965462001;23965452575;22766873798,"C=US, O=Let's Encrypt, CN=E7"
automation-installed-cms-dev.cancer.gov,No,Yes,4,3,2025-08-07T00:00:00,2026-08-07T23:59:59,20186722447;23220134328;23227482200;20186835438,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=Let's Encrypt, CN=R12"
automation-installed-cms-test.cancer.gov,No,Yes,4,2,2025-12-05T16:21:08,2026-05-14T15:56:00,22967310810;24386504622;23022881206;24386485064,"C=US, O=Let's Encrypt, CN=R13;C=US, O=Let's Encrypt, CN=R12"
automation-refreshed-cms-dev.cancer.gov,No,Yes,4,3,2025-08-07T00:00:00,2026-08-07T23:59:59,20186722447;23220134328;23227482200;20186835438,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1;C=US, O=Let's Encrypt, CN=R12"
