domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
Department of Education,Yes,No,5,1,2024-12-18T00:00:00,2026-08-11T23:59:59,20302598792;15818892215;15934894338;18798941060;19250279612,"C=US, O=""DigiCert, Inc."", CN=DigiCert Verified Mark RSA4096 SHA256 2021 CA1"
"Edfinancial Services, LLC",Yes,No,2,1,2025-08-18T00:00:00,2026-09-18T23:59:59,20429727708;22152174205,"C=US, O=""DigiCert, Inc."", CN=DigiCert Verified Mark RSA4096 SHA256 2021 CA1"
Missouri Higher Education Loan Authority,Yes,No,2,1,2025-11-10T00:00:00,2026-12-11T23:59:59,22378915248;22558137577,"C=US, O=""DigiCert, Inc."", CN=DigiCert Verified Mark RSA4096 SHA256 2021 CA1"
NP-customercare.edfinancial.studentaid.gov,No,Yes,6,2,2024-12-28T00:00:00,2026-03-04T23:59:59,15910769809;17373996845;15910800850;16676952979;16945871948;16947125760,"C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
NP-ivrpaymentwebservice.edfinancial.studentaid.gov,No,Yes,6,2,2024-12-28T00:00:00,2026-03-04T23:59:59,15910769809;17373996845;15910800850;16676952979;16945871948;16947125760,"C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
NP-ivrwebservice.edfinancial.studentaid.gov,No,Yes,6,2,2024-12-28T00:00:00,2026-03-04T23:59:59,15910769809;17373996845;15910800850;16676952979;16945871948;16947125760,"C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
NP-masstextInboundCallback.edfinancial.studentaid.gov,No,Yes,6,2,2024-12-28T00:00:00,2026-03-04T23:59:59,15910769809;17373996845;15910800850;16676952979;16945871948;16947125760,"C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
NP-masstextStatusCallback.edfinancial.studentaid.gov,No,Yes,6,2,2024-12-28T00:00:00,2026-03-04T23:59:59,15910769809;17373996845;15910800850;16676952979;16945871948;16947125760,"C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
NP.edfinancial.studentaid.gov,Yes,Yes,6,2,2024-12-28T00:00:00,2026-03-04T23:59:59,15910769809;17373996845;15910800850;16676952979;16945871948;16947125760,"C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
accountrecovery.studentaid.gov,No,Yes,2,1,2025-08-13T00:00:00,2026-11-19T23:59:59,20308947212;21860409164,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
