domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
admin.constitution.congress.gov,Yes,Yes,5,4,2026-07-15T00:00:00,2027-02-18T23:59:59,28567240412;27955819517;28657333152;28593973417;28603130313,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Google Trust Services, CN=WR1;C=US, O=Amazon, CN=Amazon RSA 2048 M01"
admin.stage.constitution.congress.gov,Yes,Yes,6,3,2026-07-15T00:00:00,2027-01-29T23:59:59,28418468632;27968476357;28418459884;28490328938;27955843668;27955843562,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Google Trust Services, CN=WR1"
api.congress.gov,Yes,Yes,2,1,2026-07-29T11:20:43,2026-10-27T11:20:42,28349779555;28349774392,"C=US, O=Let's Encrypt, CN=YR1"
bioguide.congress.gov,Yes,Yes,3,2,2025-10-09T00:00:00,2027-02-13T23:59:59,28379531985;21603973461;28379520518,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
bioguideretro.congress.gov,Yes,Yes,3,2,2025-09-22T00:00:00,2027-02-13T23:59:59,28379232602;28379235351;21202946722,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
congress.gov,Yes,Yes,13,4,2025-08-26T00:00:00,2027-02-19T23:59:59,29237207505;20585737494;28049783627;21025940279;28049373474;21025939929;28559441045;28049772418;20585737648;29237207013;28049373651;28559455736;28049790074,"C=US, O=Google Trust Services, CN=WE1;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36;C=US, O=Google Trust Services, CN=WR1;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA DV R36"
constitution.congress.gov,Yes,Yes,1,1,2026-08-05T00:00:00,2027-02-18T23:59:59,28567240412,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
constitution.stage.congress.gov,Yes,Yes,6,2,2026-07-03T06:13:18,2026-11-29T07:48:02,29187380469;29187381450;29189434628;27661093959;29187137782;27661096496,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
dev.congress.gov,Yes,Yes,4,1,2025-09-15T00:00:00,2027-02-19T23:59:59,21033943744;21033944200;28559731531;28559732913,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
house-test.congress.gov,Yes,Yes,2,1,2026-07-30T00:00:00,2027-02-13T23:59:59,28378556725;28378556457,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
lda.congress.gov,Yes,Yes,3,2,2025-09-22T00:00:00,2027-02-13T23:59:59,21203008911;28379765781;28379752653,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
legbranch.congress.gov,Yes,Yes,2,1,2025-09-25T00:00:00,2026-10-08T23:59:59,21266426367;21266433688,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
smon.congress.gov,Yes,Yes,6,1,2026-03-04T00:00:00,2027-03-06T23:59:59,24784596247;28864618513;24783455605;28864586780;28855775806;24783589467,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
stage.constitution.congress.gov,Yes,Yes,5,3,2026-07-15T00:00:00,2027-01-29T23:59:59,27968476357;28418310970;27955820045;28418303649;28490215213,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Google Trust Services, CN=WR1"
www.bioguide.congress.gov,No,Yes,2,1,2026-07-30T00:00:00,2027-02-13T23:59:59,28379531985;28379520518,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
www.bioguideretro.congress.gov,No,Yes,3,2,2025-09-22T00:00:00,2027-02-13T23:59:59,28379232602;28379235351;21202946722,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
www.constitution.congress.gov,Yes,Yes,2,2,2026-08-10T20:14:14,2026-11-08T21:14:20,28718381163;28718814910,"C=US, O=Google Trust Services, CN=WE1;C=US, O=Google Trust Services, CN=WR1"
www.house-test.congress.gov,No,Yes,2,1,2026-07-30T00:00:00,2027-02-13T23:59:59,28378556725;28378556457,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
www.lda.congress.gov,No,Yes,2,1,2026-07-30T00:00:00,2027-02-13T23:59:59,28379765781;28379752653,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
www.legbranch.congress.gov,No,Yes,2,1,2025-09-25T00:00:00,2026-10-08T23:59:59,21266426367;21266433688,"C=GB, O=Sectigo Limited, CN=Sectigo Public Server Authentication CA OV R36"
