domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
arlweb.msha.gov,No,Yes,15,4,2026-03-04T00:00:00,2027-04-04T23:59:59,29197936806;29235345338;25266041051;29032901314;28461630624;29358550136;24769669615;29106503641;29358777649;24769669760;29435628570;28628032725;25273153952;28129948765;28857248240,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
dc1vwmshaegovp1.msha.gov,No,Yes,2,1,2026-01-22T00:00:00,2027-02-22T23:59:59,23922624404;23922623776,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
dc1vwmshalibp01.msha.gov,Yes,Yes,4,1,2026-08-27T00:00:00,2027-03-13T23:59:59,29090170048;29090171624;29088215090;29088215378,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
dev.msha.gov,Yes,Yes,1,1,2025-12-07T00:00:00,2027-01-05T23:59:59,22946925839,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
digitallibrary.msha.gov,Yes,Yes,7,2,2026-03-28T00:00:00,2027-03-13T23:59:59,29090170048;29088215090;25265824703;29088215378;29090171624;29274972226;29106152852,"C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
dol.gov,Yes,No,10,1,2026-07-21T00:00:00,2027-03-28T23:59:59,29197936806;29235345338;29032901314;28461630624;29358550136;29358777649;29435628570;28628032725;28129948765;28857248240,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
edit.dev.msha.gov,No,Yes,1,1,2025-12-07T00:00:00,2027-01-05T23:59:59,22946925839,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
edit.msha.gov,No,Yes,4,2,2025-09-02T00:00:00,2027-02-16T23:59:59,24769717587;28487254763;20738480421;28485638559,"C=US, O=Amazon, CN=Amazon RSA 2048 M02;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
edit.stage.msha.gov,No,Yes,1,1,2025-12-07T00:00:00,2027-01-05T23:59:59,22946909555,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
edit.test.msha.gov,No,Yes,1,1,2025-12-07T00:00:00,2027-01-05T23:59:59,22946925887,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
egov.msha.gov,Yes,Yes,4,2,2026-01-22T00:00:00,2027-02-22T23:59:59,27149443308;23922624404;26917845854;23922623776,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
microstrategy-test.msha.gov,Yes,Yes,1,1,2026-06-04T00:00:00,2026-12-18T23:59:59,26894864752,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
microstrategy.msha.gov,No,Yes,14,3,2026-03-04T00:00:00,2027-04-04T23:59:59,29197936806;29235345338;27149443308;29032901314;28461630624;29358550136;26917845854;24769669615;29358777649;24769669760;29435628570;28628032725;28129948765;28857248240,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
msha.gov,Yes,Yes,6,3,2025-09-02T00:00:00,2027-04-04T23:59:59,24769695490;20738480421;28485638559;28487254763;24769695598;24769717587,"C=US, O=Amazon, CN=Amazon RSA 2048 M02;C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
prod.msha.gov,No,Yes,5,3,2025-09-02T00:00:00,2027-02-16T23:59:59,20738480421;28485638559;28487254763;28029015533;24769717587,"C=US, O=Amazon, CN=Amazon RSA 2048 M01;C=US, O=Amazon, CN=Amazon RSA 2048 M02;C=US, O=Amazon, CN=Amazon RSA 2048 M04"
stage.msha.gov,Yes,Yes,1,1,2025-12-07T00:00:00,2027-01-05T23:59:59,22946909555,"C=US, O=Amazon, CN=Amazon RSA 2048 M01"
staging.msha.gov,No,Yes,2,1,2026-03-04T00:00:00,2027-04-04T23:59:59,24769695490;24769695598,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
test.msha.gov,Yes,Yes,1,1,2025-12-07T00:00:00,2027-01-05T23:59:59,22946925887,"C=US, O=Amazon, CN=Amazon RSA 2048 M04"
www.dc1vwmshalibp01.msha.gov,No,Yes,4,1,2026-08-27T00:00:00,2027-03-13T23:59:59,29090170048;29090171624;29088215090;29088215378,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
www.microstrategy.msha.gov,No,Yes,2,1,2026-03-04T00:00:00,2027-04-04T23:59:59,24769669760;24769669615,"C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
www.msha.gov,No,Yes,6,3,2025-09-02T00:00:00,2027-04-04T23:59:59,24769695490;20738480421;28485638559;28487254763;24769695598;24769717587,"C=US, O=Amazon, CN=Amazon RSA 2048 M02;C=US, O=Amazon, CN=Amazon RSA 2048 M04;C=CA, O=Entrust Limited, CN=Entrust OV TLS Issuing RSA CA 2"
