domain,seen_in_common_name,seen_in_name_value,certificate_count,issuer_count,earliest_seen,latest_expiry,certificate_ids,issuers
api-int.uscis.gov,Yes,Yes,1,1,2025-03-25T00:00:00,2026-03-24T23:59:59,17398707450,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
api.uscis.gov,Yes,Yes,1,1,2025-03-25T00:00:00,2026-03-24T23:59:59,17398654025,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
beta-staging.uscis.gov,No,Yes,2,1,2024-12-23T00:00:00,2025-12-24T23:59:59,17561200268;15867620495,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
beta-testint.uscis.gov,No,Yes,2,1,2024-12-23T00:00:00,2025-12-24T23:59:59,17561200268;15867620495,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
beta.uscis.gov,No,Yes,6,2,2025-02-25T00:00:00,2026-02-25T23:59:59,17561274672;16977756642;18984432390;16856912457;19996163038;19885134674,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
blog-es.uscis.gov,No,Yes,21,2,2025-04-09T00:00:00,2026-04-09T23:59:59,18499340096;19250178429;20438552877;20463328242;17982938845;17982930156;19884927581;18789272541;17982940211;20463347795;20839226916;19103922344;20330286795;20330264595;19884835755;19103922592;17739982718;18499335844;18499345217;20296480714;17740041308,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1"
blog.uscis.gov,No,Yes,21,2,2025-04-09T00:00:00,2026-04-09T23:59:59,18499340096;19250178429;20438552877;20463328242;17982938845;17982930156;19884927581;18789272541;17982940211;20463347795;20839226916;19103922344;20330286795;20330264595;19884835755;19103922592;17739982718;18499335844;18499345217;20296480714;17740041308,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1"
citizenshipgrants.uscis.gov,Yes,Yes,2,1,2025-03-20T00:00:00,2026-03-19T23:59:59,17377070549;17273620051,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
developer.uscis.gov,Yes,Yes,1,1,2025-01-02T00:00:00,2026-02-02T23:59:59,15978253694,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
e-verify.uscis.gov,No,Yes,3,1,2024-12-16T00:00:00,2025-12-16T23:59:59,16372344516;16372339379;15777114380,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit-beta.uscis.gov,No,Yes,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18580896916;16621718437;18580894723;18581707897,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit-wcms-testint.dhs.gov,Yes,No,2,1,2024-12-23T00:00:00,2025-12-24T23:59:59,17561200268;15867620495,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit.beta-staging.uscis.gov,No,Yes,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18580896916;16621718437;18580894723;18581707897,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit.beta-testint.uscis.gov,No,Yes,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18580896916;16621718437;18580894723;18581707897,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit.staging.uscis.gov,No,Yes,2,1,2024-12-23T00:00:00,2025-12-24T23:59:59,17561200268;15867620495,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit.staging1.dhs.gov,Yes,No,4,2,2025-02-09T00:00:00,2026-02-11T23:59:59,18580896916;16621718437;18580894723;18581707897,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit.testint.uscis.gov,No,Yes,2,1,2024-12-23T00:00:00,2025-12-24T23:59:59,17561200268;15867620495,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
edit.uscis.gov,No,Yes,2,1,2024-12-23T00:00:00,2025-12-24T23:59:59,17561200268;15867620495,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
egov.uscis.gov,Yes,Yes,1,1,2025-03-26T00:00:00,2026-03-25T23:59:59,17420492662,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
everify.uscis.gov,No,Yes,7,3,2025-02-25T00:00:00,2026-03-31T23:59:59,17561274672;16977756642;18984432390;17561275302;16856912457;19996163038;19885134674,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
externaltest.idp.uscis.gov,No,Yes,8,3,2024-11-25T00:00:00,2026-02-25T23:59:59,17561274672;16977756642;18984432390;16856912457;19996163038;20867077190;19885134674;15494011089,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
externaltest.ra47l2xj-idp.uscis.gov,No,Yes,2,1,2024-11-25T00:00:00,2025-12-26T23:59:59,20867077190;15494011089,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
fedhrnavigator.uscis.gov,Yes,Yes,7,1,2025-03-18T00:00:00,2026-03-30T23:59:59,17469026680;17536830219;17536830074;17469005148;17420663412;17212389970;17829686945,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
first-dev.uscis.gov,Yes,Yes,1,1,2025-05-08T00:00:00,2026-05-07T23:59:59,18295467825,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
first-stage.uscis.gov,Yes,Yes,3,1,2025-05-08T00:00:00,2026-05-11T23:59:59,18295470632;18368853269;18579264844,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
first-test.uscis.gov,Yes,Yes,1,1,2025-05-08T00:00:00,2026-05-07T23:59:59,18295516330,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
first.uscis.gov,Yes,Yes,1,1,2025-02-04T00:00:00,2026-03-03T23:59:59,16521179616,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
idp.uscis.gov,Yes,Yes,8,3,2024-11-25T00:00:00,2026-02-25T23:59:59,17561274672;16977756642;18984432390;16856912457;19996163038;20867077190;19885134674;15494011089,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
login-dev.uscis.gov,No,Yes,24,4,2024-09-13T15:31:56,2026-04-09T23:59:59,18499340096;16589558887;19250178429;20438552877;20463328242;17982938845;17982930156;19884927581;18789272541;17982940211;20463347795;20839226916;19103922344;20330286795;20330264595;14538432392;19884835755;19103922592;17739982718;18499335844;16589558895;18499345217;20296480714;17740041308,"C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1"
login-preprod.uscis.gov,No,Yes,24,4,2024-09-13T15:30:19,2026-04-09T23:59:59,18499340096;16589558887;19250178429;20438552877;20463328242;17982938845;17982930156;14538417066;19884927581;18789272541;17982940211;20463347795;20839226916;19103922344;20330286795;20330264595;19884835755;19103922592;17739982718;18499335844;16589558895;18499345217;20296480714;17740041308,"C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1"
login-test.uscis.gov,No,Yes,24,4,2024-09-13T15:34:31,2026-04-09T23:59:59,18499340096;16589558887;19250178429;20438552877;20463328242;17982938845;17982930156;19884927581;18789272541;17982940211;20463347795;20839226916;19103922344;20330286795;20330264595;19884835755;19103922592;17739982718;18499335844;16589558895;18499345217;20296480714;14538454849;17740041308,"C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1"
login.uscis.gov,No,Yes,24,4,2024-09-13T15:21:09,2026-04-09T23:59:59,18499340096;16589558887;14538321476;19250178429;20438552877;20463328242;17982938845;17982930156;19884927581;18789272541;17982940211;20463347795;20839226916;19103922344;20330286795;20330264595;19884835755;19103922592;17739982718;18499335844;16589558895;18499345217;20296480714;17740041308,"C=US, O=""Entrust, Inc."", OU=See www.entrust.net/legal-terms, OU=""(c) 2012 Entrust, Inc. - for authorized use only"", CN=Entrust Certification Authority - L1K;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert TLS RSA SHA256 2020 CA1;C=US, O=DigiCert Inc, CN=DigiCert Global G3 TLS ECC SHA384 2020 CA1"
my.uscis.gov,No,Yes,6,3,2024-12-05T00:00:00,2026-02-25T23:59:59,17561274672;16977756642;18984432390;16856912457;15627190418;16782286914,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
myaccount-preview.uscis.gov,No,Yes,8,3,2024-12-10T00:00:00,2026-02-25T23:59:59,17561274672;15700804948;16977756642;18984432390;16856912457;16782280272;19996163038;19885134674,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
myaccount.uscis.gov,No,Yes,9,3,2024-12-10T00:00:00,2025-12-16T23:59:59,16372344516;15700804948;18208856290;16948093744;16372339379;15777114380;16447162557;18131175742;16782280272,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
myeverify.uscis.gov,No,Yes,7,2,2024-12-16T00:00:00,2025-12-16T23:59:59,16372344516;18208856290;16372339379;16948093744;15777114380;16447162557;18131175742,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
non-prod-everify.uscis.gov,No,Yes,1,1,2025-04-01T00:00:00,2026-03-31T23:59:59,17561207453,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
nonprod-everify.uscis.gov,No,Yes,3,2,2024-12-23T00:00:00,2026-03-31T23:59:59,17561200268;15867620495;17561207453,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
origin-my.uscis.gov,No,Yes,2,1,2024-12-05T00:00:00,2025-12-04T23:59:59,15627190418;16782286914,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
piv-fedhrnavigator.uscis.gov,No,Yes,5,1,2025-03-28T00:00:00,2026-03-30T23:59:59,17469026680;17536830219;17536830074;17469005148;17829686945,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
piv.fedhrnavigator.uscis.gov,No,Yes,2,1,2025-03-18T00:00:00,2026-03-25T23:59:59,17420663412;17212389970,"C=US, O=DigiCert Inc, CN=DigiCert EV RSA CA G2"
preview-everify.uscis.gov,No,Yes,1,1,2025-04-01T00:00:00,2026-03-31T23:59:59,17561275302,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
preview.dhs.gov,Yes,No,6,2,2025-02-25T00:00:00,2026-02-25T23:59:59,17561274672;16977756642;18984432390;16856912457;19996163038;19885134674,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
preview.idp.uscis.gov,No,Yes,8,3,2024-11-25T00:00:00,2026-02-25T23:59:59,17561274672;16977756642;18984432390;16856912457;19996163038;20867077190;19885134674;15494011089,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
preview.uscis.gov,No,Yes,7,3,2025-02-25T00:00:00,2026-03-31T23:59:59,17561274672;16977756642;18984432390;17561275302;16856912457;19996163038;19885134674,"C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1;C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018;C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
preview.v9qm8sbr-idp.uscis.gov,No,Yes,2,1,2024-11-25T00:00:00,2025-12-26T23:59:59,20867077190;15494011089,"C=US, O=DigiCert Inc, CN=DigiCert Global G2 TLS RSA SHA256 2020 CA1"
